Entity,Code,Year,CO2 emissions from oil,CO2 emissions from flaring,CO2 emissions from cement,CO2 emissions from coal,CO2 emissions from gas,CO2 emissions from other industry
World,OWID_WRL,1750,0,0,0,9350528,0,0
World,OWID_WRL,1751,0,0,0,9350528,0,0
World,OWID_WRL,1752,0,0,0,9354192,0,0
World,OWID_WRL,1753,0,0,0,9354192,0,0
World,OWID_WRL,1754,0,0,0,9357856,0,0
World,OWID_WRL,1755,0,0,0,9361520,0,0
World,OWID_WRL,1756,0,0,0,10006384,0,0
World,OWID_WRL,1757,0,0,0,10010048,0,0
World,OWID_WRL,1758,0,0,0,10013712,0,0
World,OWID_WRL,1759,0,0,0,10017376,0,0
World,OWID_WRL,1760,0,0,0,10017376,0,0
World,OWID_WRL,1761,0,0,0,10973680,0,0
World,OWID_WRL,1762,0,0,0,10977344,0,0
World,OWID_WRL,1763,0,0,0,10981008,0,0
World,OWID_WRL,1764,0,0,0,10984672,0,0
World,OWID_WRL,1765,0,0,0,10988336,0,0
World,OWID_WRL,1766,0,0,0,12259744,0,0
World,OWID_WRL,1767,0,0,0,12263408,0,0
World,OWID_WRL,1768,0,0,0,12267072,0,0
World,OWID_WRL,1769,0,0,0,12270736,0,0
World,OWID_WRL,1770,0,0,0,12274400,0,0
World,OWID_WRL,1771,0,0,0,13611760,0,0
World,OWID_WRL,1772,0,0,0,13615424,0,0
World,OWID_WRL,1773,0,0,0,13619088,0,0
World,OWID_WRL,1774,0,0,0,13622752,0,0
World,OWID_WRL,1775,0,0,0,13626416,0,0
World,OWID_WRL,1776,0,0,0,15037056,0,0
World,OWID_WRL,1777,0,0,0,15040720,0,0
World,OWID_WRL,1778,0,0,0,15044384,0,0
World,OWID_WRL,1779,0,0,0,15048048,0,0
World,OWID_WRL,1780,0,0,0,15055376,0,0
World,OWID_WRL,1781,0,0,0,16843408,0,0
World,OWID_WRL,1782,0,0,0,16847072,0,0
World,OWID_WRL,1783,0,0,0,16854400,0,0
World,OWID_WRL,1784,0,0,0,16858064,0,0
World,OWID_WRL,1785,0,0,0,16869056,0,0
World,OWID_WRL,1786,0,0,0,19151728,0,0
World,OWID_WRL,1787,0,0,0,19159056,0,0
World,OWID_WRL,1788,0,0,0,19162720,0,0
World,OWID_WRL,1789,0,0,0,19170048,0,0
World,OWID_WRL,1790,0,0,0,19177376,0,0
World,OWID_WRL,1791,0,0,0,21419744,0,0
World,OWID_WRL,1792,0,0,0,21896064,0,0
World,OWID_WRL,1793,0,0,0,21914384,0,0
World,OWID_WRL,1794,0,0,0,21881408,0,0
World,OWID_WRL,1795,0,0,0,21892400,0,0
World,OWID_WRL,1796,0,0,0,22951296,0,0
World,OWID_WRL,1797,0,0,0,24094464,0,0
World,OWID_WRL,1798,0,0,0,25094736,0,0
World,OWID_WRL,1799,0,0,0,26428432,0,0
World,OWID_WRL,1800,0,0,0,28091888,0,0
World,OWID_WRL,1801,0,0,0,27959984,0,0
World,OWID_WRL,1802,0,0,0,36782896,0,0
World,OWID_WRL,1803,0,0,0,31488416,0,0
World,OWID_WRL,1804,0,0,0,34309696,0,0
World,OWID_WRL,1805,0,0,0,33419344,0,0
World,OWID_WRL,1806,0,0,0,35046160,0,0
World,OWID_WRL,1807,0,0,0,36874496,0,0
World,OWID_WRL,1808,0,0,0,35064480,0,0
World,OWID_WRL,1809,0,0,0,35090128,0,0
World,OWID_WRL,1810,0,0,0,37380128,0,0
World,OWID_WRL,1811,0,0,0,39582192,0,0
World,OWID_WRL,1812,0,0,0,41007488,0,0
World,OWID_WRL,1813,0,0,0,41220000,0,0
World,OWID_WRL,1814,0,0,0,42128672,0,0
World,OWID_WRL,1815,0,0,0,43488016,0,0
World,OWID_WRL,1816,0,0,0,47664976,0,0
World,OWID_WRL,1817,0,0,0,49431024,0,0
World,OWID_WRL,1818,0,0,0,49643536,0,0
World,OWID_WRL,1819,0,0,0,49947648,0,0
World,OWID_WRL,1820,0,0,0,50687776,0,0
World,OWID_WRL,1821,0,0,0,51435232,0,0
World,OWID_WRL,1822,0,0,0,53465088,0,0
World,OWID_WRL,1823,0,0,0,56550176,0,0
World,OWID_WRL,1824,0,0,0,58525072,0,0
World,OWID_WRL,1825,0,0,0,60756448,0,0
World,OWID_WRL,1826,0,0,0,61419632,0,0
World,OWID_WRL,1827,0,0,0,65915360,0,0
World,OWID_WRL,1828,0,0,0,66637168,0,0
World,OWID_WRL,1829,0,0,0,66395344,0,0
World,OWID_WRL,1830,0,0,0,89123136,0,0
World,OWID_WRL,1831,0,0,0,84528480,0,0
World,OWID_WRL,1832,0,0,0,85111056,0,0
World,OWID_WRL,1833,0,0,0,86807488,0,0
World,OWID_WRL,1834,0,0,0,88485600,0,0
World,OWID_WRL,1835,0,0,0,90445840,0,0
World,OWID_WRL,1836,0,0,0,104775744,0,0
World,OWID_WRL,1837,0,0,0,104691472,0,0
World,OWID_WRL,1838,0,0,0,108044032,0,0
World,OWID_WRL,1839,0,0,0,111612768,0,0
World,OWID_WRL,1840,0,0,0,118929776,0,0
World,OWID_WRL,1841,0,0,0,122619424,0,0
World,OWID_WRL,1842,0,0,0,129504080,0,0
World,OWID_WRL,1843,0,0,0,132852976,0,0
World,OWID_WRL,1844,0,0,0,141423072,0,0
World,OWID_WRL,1845,0,0,0,155210704,0,0
World,OWID_WRL,1846,0,0,0,157793824,0,0
World,OWID_WRL,1847,0,0,0,172402192,0,0
World,OWID_WRL,1848,0,0,0,173816496,0,0
World,OWID_WRL,1849,0,0,0,183511440,0,0
World,OWID_WRL,1850,0,0,0,196896032,0,0
World,OWID_WRL,1851,0,0,0,198804976,0,0
World,OWID_WRL,1852,0,0,0,207550944,0,0
World,OWID_WRL,1853,0,0,0,217209248,0,0
World,OWID_WRL,1854,0,0,0,255138976,0,0
World,OWID_WRL,1855,36640,0,0,260129344,0,0
World,OWID_WRL,1856,40304,0,0,277251216,0,0
World,OWID_WRL,1857,51296,0,0,279838000,0,0
World,OWID_WRL,1858,62288,0,0,284109744,0,0
World,OWID_WRL,1859,54955,0,0,301257898,0,0
World,OWID_WRL,1860,273951,0,0,330368537,0,0
World,OWID_WRL,1861,941558,0,0,346793913,0,0
World,OWID_WRL,1862,1399178,0,0,352658537,0,0
World,OWID_WRL,1863,1293795,0,0,376566424,0,0
World,OWID_WRL,1864,1110805,0,0,405980569,0,0
World,OWID_WRL,1865,1320628,0,0,430987421,0,0
World,OWID_WRL,1866,1953559,0,0,444017335,0,0
World,OWID_WRL,1867,1987120,0,0,475827792,0,0
World,OWID_WRL,1868,2291246,0,0,488461250,0,0
World,OWID_WRL,1869,2617286,0,0,518513434,0,0
World,OWID_WRL,1870,3136229,0,0,529400523,0,0
World,OWID_WRL,1871,3285369,0,0,562857591,0,0
World,OWID_WRL,1872,3701762,0,0,622670030,0,0
World,OWID_WRL,1873,5674193,0,0,659744847,0,0
World,OWID_WRL,1874,6249049,0,0,616748199,0,0
World,OWID_WRL,1875,5842505,0,0,669956647,0,0
World,OWID_WRL,1876,6545432,0,0,679007288,0,0
World,OWID_WRL,1877,8834812,0,0,690263716,0,0
World,OWID_WRL,1878,10054126,0,0,694328417,0,0
World,OWID_WRL,1879,12675038,0,0,742195213,0,0
World,OWID_WRL,1880,15381757,0,0,838326078,0,0
World,OWID_WRL,1881,17265163,0,0,865142907,0,0
World,OWID_WRL,1882,18964051,0,0,912796418,164880,0
World,OWID_WRL,1883,16529218,0,0,974126124,381051,0
World,OWID_WRL,1884,18360948,0,0,982645107,1172480,0
World,OWID_WRL,1885,19007001,0,0,986952969,3715296,0
World,OWID_WRL,1886,21873497,0,0,995930048,7676080,0
World,OWID_WRL,1887,23541306,0,0,1041433985,11787088,0
World,OWID_WRL,1888,24644191,0,0,1150858920,16773792,0
World,OWID_WRL,1889,28472597,0,0,1151106049,12226768,0
World,OWID_WRL,1890,34728317,0,0,1252048289,11688053,0
World,OWID_WRL,1891,40920726,0,0,1309012664,8947488,0
World,OWID_WRL,1892,40289170,0,0,1322020446,7775008,0
World,OWID_WRL,1893,42657182,0,0,1303731550,7287696,0
World,OWID_WRL,1894,41808430,0,0,1352359887,6697850,0
World,OWID_WRL,1895,48670505,0,0,1429570796,7042154,0
World,OWID_WRL,1896,52704347,0,0,1474160991,6847964,0
World,OWID_WRL,1897,55684049,0,0,1543341302,7287643,0
World,OWID_WRL,1898,57344757,0,0,1628474928,8460176,0
World,OWID_WRL,1899,60226116,0,0,1779778590,10904064,0
World,OWID_WRL,1900,67531982,0,1386040,1873154593,11541600,0
World,OWID_WRL,1901,74984576,0,1655967,1928919376,12860640,0
World,OWID_WRL,1902,81033410,0,2144731,1973071980,13696032,0
World,OWID_WRL,1903,85776424,0,2532765,2155776499,14527760,0
World,OWID_WRL,1904,96314804,0,2731694,2168547606,15165234,0
World,OWID_WRL,1905,97197654,0,3490592,2313287021,17169504,0
World,OWID_WRL,1906,98098508,0,4469621,2432620080,19027152,0
World,OWID_WRL,1907,119635691,0,4601068,2743718951,19877139,0
World,OWID_WRL,1908,128979404,0,4795117,2625837624,19675680,0
World,OWID_WRL,1909,134583740,0,6023783,2726523159,23522878,0
World,OWID_WRL,1910,144080377,0,7040030,2856120390,24915200,0
World,OWID_WRL,1911,152777383,0,7213877,2901555556,25717653,0
World,OWID_WRL,1912,156996989,0,7582929,3040507710,28315392,0
World,OWID_WRL,1913,181806871,0,8464930,3278396362,29597792,0
World,OWID_WRL,1914,185821871,0,8061695,2949975797,30136463,0
World,OWID_WRL,1915,197358982,0,7867182,2893296725,31865750,0
World,OWID_WRL,1916,214904626,0,8389796,3116991256,38376810,0
World,OWID_WRL,1917,239051638,0,8457468,3245537421,40509124,0
World,OWID_WRL,1918,244706446,0,6479221,3195729967,36519090,0
World,OWID_WRL,1919,273069200,0,7354303,2701549916,37948035,0
World,OWID_WRL,1920,350311396,0,9014987,3112382744,41685394,0
World,OWID_WRL,1921,384355732,0,8885636,2654888711,34992685,0
World,OWID_WRL,1922,426464263,0,10384405,2757275447,40107318,0
World,OWID_WRL,1923,473659323,0,12430791,3131989020,52526335,0
World,OWID_WRL,1924,470958015,0,13499926,3138817706,59710715,0
World,OWID_WRL,1925,492937623,0,14341240,3138599160,63925756,0
World,OWID_WRL,1926,490840087,0,14651099,3067560421,69148128,0
World,OWID_WRL,1927,537905205,0,15355300,3349092573,76020622,0
World,OWID_WRL,1928,549652525,0,35672533,3291699973,82628111,0
World,OWID_WRL,1929,602804352,0,36937798,3509546700,102900909,0
World,OWID_WRL,1930,577519960,0,35624846,3202021710,104232387,0
World,OWID_WRL,1931,560692247,0,31021152,2818368047,92901010,0
World,OWID_WRL,1932,537030872,0,24851480,2507727917,88234871,0
World,OWID_WRL,1933,586882280,0,23991162,2623163002,90935091,0
World,OWID_WRL,1934,621154342,0,28718289,2864469469,101973286,0
World,OWID_WRL,1935,669590721,0,32330597,2981135048,111400171,0
World,OWID_WRL,1936,730034688,0,39090561,3273863828,125565289,0
World,OWID_WRL,1937,822446234,0,41147697,3452448255,140612633,0
World,OWID_WRL,1938,797974864,0,38919759,3221119686,135531579,0
World,OWID_WRL,1939,831234034,0,36048654,3427143687,141366142,0
World,OWID_WRL,1940,873503541,0,31650653,3788360316,153569754,0
World,OWID_WRL,1941,881716099,0,43462922,3876834236,153463212,0
World,OWID_WRL,1942,836422456,0,38218755,3894968944,166048943,0
World,OWID_WRL,1943,888703153,0,34653241,3912608508,182899895,0
World,OWID_WRL,1944,1019124432,0,22524368,3861790200,197600826,0
World,OWID_WRL,1945,1008967710,0,22933991,2992181146,216746043,0
World,OWID_WRL,1946,1140637863,0,36312280,3228827851,223895024,0
World,OWID_WRL,1947,1222222581,0,43236507,3612469218,247965903,0
World,OWID_WRL,1948,1340541009,0,51765550,3723982980,280213896,0
World,OWID_WRL,1949,1337845094,0,58354639,3542528132,300548536,0
World,OWID_WRL,1950,1649524808,73624416,66938754,3854979568,353282938,0
World,OWID_WRL,1951,1743311181,79875260,75576268,4058694817,416327451,0
World,OWID_WRL,1952,1838890949,85363804,81133987,4007545141,447229206,0
World,OWID_WRL,1953,1953704968,81348030,90025950,4042020514,474685529,0
World,OWID_WRL,1954,2070390970,77612011,97786901,4037623401,501530679,0
World,OWID_WRL,1955,2314012816,96835843,108186483,4370549522,547453521,0
World,OWID_WRL,1956,2510503843,108173769,117213288,4594486984,587532533,0
World,OWID_WRL,1957,2623951362,106385515,123182832,4678644078,647175840,0
World,OWID_WRL,1958,2729314161,95114847,130395886,4750658604,706629603,0
World,OWID_WRL,1959,2907740543,91693532,145957417,4943832093,759285074,0
World,OWID_WRL,1960,3122521995,89140213,156941007,5130917207,835373814,0
World,OWID_WRL,1961,3306202438,86219069,165444527,4915324703,882812472,0
World,OWID_WRL,1962,3553817865,85930795,177697178,4901275630,968787669,0
World,OWID_WRL,1963,3807944097,90506188,187210414,5101000433,1049369703,0
World,OWID_WRL,1964,4100508898,112791867,205788296,5195153818,1155366123,0
World,OWID_WRL,1965,4409775036,130442812,215178177,5280001247,1233892106,0
World,OWID_WRL,1966,4748619903,144566086,230267882,5327529039,1342854975,0
World,OWID_WRL,1967,5062785746,190782930,238147151,5243604297,1436176431,0
World,OWID_WRL,1968,5513229561,203800258,254904571,5301228682,1562832762,0
World,OWID_WRL,1969,5965537708,244034831,268359255,5501877814,1712032482,0
World,OWID_WRL,1970,6792354640,277744916,282282415,5680359830,1794120757,0
World,OWID_WRL,1971,7186471187,321127729,300043880,5681463335,1936725140,0
World,OWID_WRL,1972,7748088647,346570192,316962122,5675726119,2055258100,0
World,OWID_WRL,1973,8289090450,402006186,335998715,5837205117,2136412572,0
World,OWID_WRL,1974,8169222654,391233801,336716641,5847757813,2180940616,0
World,OWID_WRL,1975,8063996156,336444258,333850031,5974763478,2193918611,0
World,OWID_WRL,1976,8482571344,395348078,356317960,6242260822,2323262047,0
World,OWID_WRL,1977,8793730433,381321006,371938802,6373923929,2367021917,0
World,OWID_WRL,1978,9115410681,390089456,394790737,6568674174,2489866889,0
World,OWID_WRL,1979,9256644357,360196107,401223089,6816021690,2630152897,0
World,OWID_WRL,1980,8923603635,316485283,403946860,7017390392,2708025616,0
World,OWID_WRL,1981,8487478746,237302361,403665571,6973883651,2739036246,0
World,OWID_WRL,1982,8283154152,235796482,401621546,7099887268,2680505522,0
World,OWID_WRL,1983,8214480412,213144874,411161130,7312339734,2725148408,0
World,OWID_WRL,1984,8253643534,187118779,418837420,7624128249,2942506069,0
World,OWID_WRL,1985,8270208248,181886017,422730677,8177459774,3064539505,0
World,OWID_WRL,1986,8517086148,170182688,439965834,8268885202,3005574829,0
World,OWID_WRL,1987,8617419628,163551243,458358961,8567808309,3255565822,0
World,OWID_WRL,1988,8920266235,186184507,485930355,8858932732,3414656922,0
World,OWID_WRL,1989,9069718662,151453463,497250473,8882260975,3592678208,0
World,OWID_WRL,1990,9218815720,247907829,499195960,8720617124,3860862153,150213133
World,OWID_WRL,1991,9676619152,262647570,512831149,8639866122,3939117852,138447485
World,OWID_WRL,1992,9160068321,232040135,534533194,8423191625,3966599563,128518488
World,OWID_WRL,1993,9183988736,228385626,555313637,8522452431,4074315374,118147410
World,OWID_WRL,1994,9221055915,231587287,591946896,8572821947,4112048775,114326903
World,OWID_WRL,1995,9314525616,230257310,625865982,8822304471,4220641985,118563710
World,OWID_WRL,1996,9623161456,233118060,639118792,9035079642,4406062954,114302739
World,OWID_WRL,1997,9771633397,238107122,658366689,8986534450,4422389632,114116860
World,OWID_WRL,1998,9871746194,226831920,654506611,8749415356,4495892543,113726185
World,OWID_WRL,1999,10104990300,219233841,684408591,8679499047,4628797326,114121652
World,OWID_WRL,2000,10280736130,264500723,715796217,8999103581,4745741622,113164035
World,OWID_WRL,2001,10367719520,266259850,747540494,9048280289,4791209636,111192731
World,OWID_WRL,2002,10358791530,276993277,787886964,9437303958,4936982045,113228506
World,OWID_WRL,2003,10621092850,277337270,846510172,10210176150,5106119029,114948520
World,OWID_WRL,2004,10992582380,301040745,905652563,10877644850,5274069227,119461490
World,OWID_WRL,2005,11071852480,321168034,957464451,11537730490,5399904191,122769700
World,OWID_WRL,2006,11159281470,322801911,1045562091,12194676310,5524520960,127711254
World,OWID_WRL,2007,11221838280,337991468,1120178647,12774790390,5710414541,128648974
World,OWID_WRL,2008,11199617340,351570110,1136901890,13260655670,5873324221,123964668
World,OWID_WRL,2009,10989511680,342766367,1168218851,13096209200,5764761906,102732427
World,OWID_WRL,2010,11288151270,350360904,1242448277,13930110310,6206111296,114729011
World,OWID_WRL,2011,11294422960,343431906,1333890868,14748065580,6372084290,117686968
World,OWID_WRL,2012,11523496390,348955896,1371644397,14901934980,6497148910,116827573
World,OWID_WRL,2013,11629568940,349063334,1427392588,14921136420,6540736381,119365887
World,OWID_WRL,2014,11744752050,360754295,1483542540,14944735950,6590455787,120627494
World,OWID_WRL,2015,11914683330,362053077,1428375337,14624451360,6762248094,117635368
World,OWID_WRL,2016,11969329060,371409053,1463584999,14364382010,6939907505,111799798
World,OWID_WRL,2017,12174822440,403984248,1476475049,14413360970,7114554348,113151838
World,OWID_WRL,2018,12253084750,429495561,1514612015,14618299330,7489099056,115121000
World,OWID_WRL,2019,12355129200,429495561,1563760568,14362167420,7615713831,115121000
